"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 27 14:12:23 CST 2021","Thu May 27 14:12:24 CST 2021","222","testcase.address_book","test_depatment_manage","TestDeparmentMange","","","test_update_dep",""
"passed","Thu May 27 14:12:23 CST 2021","Thu May 27 14:12:23 CST 2021","235","testcase.address_book","test_depatment_manage","TestDeparmentMange","","","test_deplist",""
"failed","Thu May 27 14:12:23 CST 2021","Thu May 27 14:12:23 CST 2021","229","testcase.address_book","test_depatment_manage","TestDeparmentMange","","","test_add_dep",""
"failed","Thu May 27 14:12:24 CST 2021","Thu May 27 14:12:24 CST 2021","215","testcase.address_book","test_depatment_manage","TestDeparmentMange","","","test_delete_dep",""
